Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
27/06/2024,005457,6,"[16.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.698059, 0.91620255, 2.4432065, 4.057468, 5.6717296, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.32721516, 0.37220725, 0.61080164, -3.1698968, 0.3544831, 2.6245384]","[0.54714084, 0.8342627, 2.3598313, 2.528532, 5.480534, 7.0451694]","[0.28434756, 0.06996079, 0.16545561, -0.14602827, 1.4165471, 1.3307619]",,,,,,,,,,,,
27/06/2024,005457,6,"[16.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.698059, 0.9162025, 2.4432065, 4.057468, 5.6717296, 7.6350203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.32721516, 0.37220725, 0.61080164, -3.1698968, 0.0, 2.6245384]","[0.53909886, 0.83438843, 2.35958, 2.5285683, 5.502434, 7.0368514]","[0.2993143, 0.0684449, 0.16900115, -0.14539948, 1.3754054, 1.3740656]",,,,,,,,,,,,
27/06/2024,005457,6,"[16.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.698059, 0.9162025, 2.4432065, 4.0574675, 5.6717296, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.30540082, 0.37220725, 0.61080164, -3.1698968, 0.0, 2.6245384]","[0.5523317, 0.8344783, 2.3600087, 2.5286903, 5.525539, 7.019403]","[0.2982389, 0.06733982, 0.16290462, -0.14326061, 1.2794287, 1.4605888]",,,,,,,,,,,,
27/06/2024,005457,6,"[16.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.6980591, 0.91620255, 2.4432065, 4.057468, 5.67173, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.30540082, 0.37220725, 0.61080164, -3.1698968, 0.0, 2.6245384]","[0.55847174, 0.8344279, 2.360711, 2.5283587, 5.529023, 7.0350943]","[0.28657648, 0.06796227, 0.15238962, -0.14900199, 1.2642878, 1.3830361]",,,,,,,,,,,,
27/06/2024,005457,6,"[16.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.6980591, 0.9162025, 2.4432065, 4.057468, 5.67173, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.30540082, 0.37220725, 0.61080164, -3.1698968, 0.0, 2.6245384]","[0.5636357, 0.8342415, 2.3612077, 2.5282552, 5.536265, 7.0303]","[0.27628168, 0.07021277, 0.14449045, -0.15074617, 1.2321899, 1.4072033]",,,,,,,,,,,,
27/06/2024,005457,6,"[16.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.698059, 0.9162025, 2.4432065, 4.057468, 5.6717296, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.30540082, 0.37220725, 0.61080164, -3.1698968, 0.17724155, 2.8631327]","[0.56598395, 0.83393586, 2.3613443, 2.5279076, 5.526834, 6.915683]","[0.27143857, 0.07375479, 0.14224066, -0.15646818, 1.2614322, 1.5064342]",,,,,,,,,,,,
27/06/2024,005457,5,"[15.0, 21.0, 56.0, 93.0, 130.0]","[0.6544303, 0.9162025, 2.4432065, 4.057468, 5.6717296]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.28631327, 0.37220725, 0.61080164, -3.1698968, 0.17724155]","[0.5454505, 0.83386284, 2.3607461, 2.5281217, 5.5189543]","[0.22087896, 0.074575506, 0.15184705, -0.15296823, 1.2954721]",,,,,,,,,,,,
27/06/2024,005457,6,"[15.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.6544303, 0.9162025, 2.4432065, 4.057468, 5.67173, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.26586232, 0.37220725, 0.61080164, -3.1698968, 0.17724155, 2.6245384]","[0.5702312, 0.8341024, 2.359696, 2.527661, 5.5164146, 7.037584]","[0.18009065, 0.07184677, 0.16737637, -0.16040154, 1.3062452, 1.3703113]",,,,,,,,,,,,
27/06/2024,005457,6,"[15.0, 21.0, 56.0, 93.0, 130.0, 175.0]","[0.65443027, 0.9162024, 2.4432065, 4.057468, 5.6717296, 7.6350203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.26586232, 0.37220725, 0.61080164, -3.1698968, 0.17724155, 2.6245384]","[0.5636393, 0.83436674, 2.359722, 2.5278602, 5.515679, 7.0406013]","[0.19976738, 0.06870845, 0.16700792, -0.15723242, 1.3093461, 1.3547211]",,,,,,,,,,,,
27/06/2024,005457,5,"[21.0, 56.0, 93.0, 130.0, 175.0]","[0.91620255, 2.4432065, 4.057468, 5.6717296, 7.6350207]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[0.37220725, 0.61080164, -3.1698968, 0.0, 2.6245384]","[0.8342243, 2.3610046, 2.5280797, 5.5295067, 7.0347757]","[0.0704176, 0.14777173, -0.15365893, 1.2621703, 1.3846552]",,,,,,,,,,,,
