Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
02/08/2024,225115,26,"[2.0, 2.0, 10.0, 10.0, 27.0, 90.0, 93.0, 119.0, 119.0, 124.0, 124.0, 131.0, 131.0, 157.0, 88.0, 176.0, 178.0, 184.0, 198.0, 90.0, 136.0, 142.0, 144.0, 155.0, 132.0, 112.0]","[0.08725738, 0.08725738, 0.4362869, 0.4362869, 1.1779747, 3.9265823, 4.057468, 5.191814, 5.191814, 5.4099574, 5.4099574, 5.7153583, 5.7153583, 6.8497043, 3.8393247, 7.6786494, 7.765907, 8.0276785, 8.63848, 3.926582, 5.9335017, 6.195274, 6.2825313, 6.762447, 5.758987, 4.886413]","[0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, -8.0, -8.0, -8.0, -8.0, -8.0, -7.0, -7.0, -7.0, -5.0, -5.0, -4.0, -2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.62603223, 0.62603223, 0.62603223, 0.62603223, 0.62603223, 0.62603223, 0.62603223, 0.62603223, 0.75123864, -1.0016515, -1.0016515, -1.0016515, -1.0016515, -1.0016515, -0.87644506, -0.87644506, -0.87644506, -0.62603223, -0.62603223, -0.50082576, -0.25041288]",,"[-0.08180379, -0.029994724, -0.42265293, 0.3135812, 0.036811706, 0.9816455, 1.014367, -0.81122094, 1.1357093, 0.6762447, 2.5359175, 1.7860495, 3.929309, 5.993491, -1.6797045, 5.519029, 5.5817456, 6.0207586, 6.7488127, -1.8405854, -3.1521728, -3.4848416, -4.515569, -4.4378557, -4.31924, -4.2756114]","[0.019178381, 0.020005733, 0.07852091, 0.09859723, 0.6076292, 3.2038515, 3.2882698, 2.7283988, 5.0011387, 2.832912, 4.72259, 2.0844488, 4.083199, 3.2281494, 2.8600585, 5.283242, 5.2261696, 5.2115817, 5.2157454, 3.1010735, 4.9345393, 5.021876, 4.1447163, 5.098044, 3.4439986, 2.364413]","[-0.023541017, -0.079460286, -0.0744663, -0.28686526, -1.0084919, 2.0468893, 2.1497414, 4.3419685, -0.8085219, 4.5590506, -0.7306899, 5.0130253, -0.7438673, -0.75866, -1.9336679, -0.76767653, -1.3566781, -1.0166134, -1.3685262, -1.5535879, -0.95946425, -1.0089898, -1.3788258, -0.21463972, -1.6275662, 0.0757042]",,,,,,,,,,,,
02/08/2024,225116,7,"[2.0, 2.0, 64.0, 75.0, 107.0, 91.0, 135.0]","[0.08725738, 0.08725738, 2.792236, 3.2721517, 4.6682696, 3.9702108, 5.889873]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, -1.9196624, -1.8405854, -1.750601, 3.2257962, 3.3130536]","[0.019095194, 0.019754611, 1.9815736, 2.684424, 4.30895, 2.2495656, 4.8692884]","[-0.023608545, -0.07952309, -0.4299359, -0.3362887, -0.40135652, -0.544304, 0.06566578]",,,,,,,,,,,,
02/08/2024,225116,7,"[2.0, 2.0, 64.0, 75.0, 90.0, 100.0, 107.0]","[0.08725738, 0.08725738, 2.792236, 3.272152, 3.926582, 4.362869, 4.6682696]","[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, -1.9196624, -1.8405854, 3.3130536, -1.7724154, -1.6047177]","[0.019204019, 0.01990544, 1.9627633, 2.6523077, 2.039006, 3.9639447, 4.3430614]","[-0.023520108, -0.07948547, -0.508959, -0.53337276, -0.5330829, -0.4246296, -0.59618694]",,,,,,,,,,,,
02/08/2024,225117,9,"[2.0, 2.0, 90.0, 63.0, 75.0, 100.0, 107.0, 114.0, 135.0]","[0.08725738, 0.08725738, 3.926582, 2.7486074, 3.2721517, 4.362869, 4.6682696, 4.9736705, 5.889873]","[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 3.3130536, -1.8037736, -1.8405854, -1.7724154, -1.6047177, -1.554272, 3.497112]","[0.019102983, 0.01945586, 2.0925932, 1.9920357, 2.655868, 3.979526, 4.3594713, 3.5991216, 4.739056]","[-0.023602242, -0.079596706, -0.25055283, -0.577093, -0.5153518, -0.23778196, -0.46111935, -3.0607123, -0.046480846]",,,,,,,,,,,,
02/08/2024,225118,9,"[2.0, 2.0, 90.0, 75.0, 100.0, 107.0, 114.0, 135.0, 150.0]","[0.08725738, 0.08725738, 3.926582, 3.272152, 4.362869, 4.6682696, 4.9736705, 5.889873, 6.5443034]","[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 3.0676422, -1.8405854, -1.6360757, -1.6047177, -1.7096993, 3.497112, 3.2721517]","[0.019109098, 0.01952672, 2.4510357, 2.6723535, 4.04178, 4.36929, 3.5538719, 4.738126, 5.646861]","[-0.02359729, -0.07957935, 0.0064642546, -0.42160368, -0.1479593, -0.35627016, -3.0305645, -0.10476726, -0.48362157]",,,,,,,,,,,,
02/08/2024,225118,7,"[2.0, 2.0, 75.0, 100.0, 107.0, 114.0, 135.0]","[0.08725738, 0.08725738, 3.2721517, 4.362869, 4.66827, 4.9736705, 5.889873]","[0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, -1.8405854, -1.6360757, -1.6047177, -1.7096993, 3.497112]","[0.019109098, 0.019764815, 2.6889396, 4.0435677, 4.3726044, 3.6372795, 4.738395]","[-0.02359729, -0.07952055, -0.29803756, -0.08624445, -0.31297886, -2.929936, -0.09177229]",,,,,,,,,,,,
02/08/2024,225119,9,"[2.0, 2.0, 90.0, 63.0, 75.0, 106.0, 114.0, 135.0, 151.0]","[0.08725738, 0.08725738, 3.9265819, 2.7486074, 3.2721517, 4.6246414, 4.9736705, 5.8898735, 6.587932]","[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 3.558465, -1.8896676, -1.8405854, -1.5897204, -1.7096993, 3.497112, 3.293966]","[0.019000486, 0.019679993, 1.4120474, 1.9266433, 2.6896687, 4.323384, 3.7841055, 4.735213, 5.657434]","[-0.023684833, -0.07954159, -0.8726374, -0.5215789, -0.29138452, -0.41042355, -2.7376766, -0.19639982, -0.7376182]",,,,,,,,,,,,
02/08/2024,225120,9,"[2.0, 2.0, 63.0, 90.0, 110.0, 135.0, 75.0, 107.0, 113.0]","[0.08725738, 0.08725738, 2.7486074, 3.9265819, 4.799155, 5.8898726, 3.2721517, 4.66827, 4.930042]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, -1.8896676, 3.3130536, 3.4493933, 3.497112, -1.8405854, -1.750601, -1.6947019]","[0.01913076, 0.019622542, 1.9691477, 2.0488348, 3.316092, 4.7366066, 2.690555, 4.3260984, 3.677199]","[-0.023579732, -0.07955578, -0.32627615, -0.4939622, 0.3702897, 0.15927483, -0.2830838, 0.11407155, -2.8127398]",,,,,,,,,,,,
02/08/2024,225121,7,"[2.0, 2.0, 63.0, 75.0, 90.0, 106.0, 113.0]","[0.08725738, 0.08725738, 2.7486074, 3.2721517, 3.926582, 4.624641, 4.930042]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -1.8896676, -1.8405854, 3.4357593, -1.5897204, -1.5406381]","[0.019109536, 0.019963931, 1.9505168, 2.688816, 1.8397444, 4.2475324, 3.8416007]","[-0.023596937, -0.0794708, -0.42365396, -0.29914925, -0.4784817, -0.9047453, -2.6784043]",,,,,,,,,,,,
02/08/2024,225121,8,"[2.0, 2.0, 62.0, 75.0, 90.0, 106.0, 113.0, 135.0]","[0.08725738, 0.08725738, 2.7049787, 3.2721515, 3.926582, 4.624641, 4.9300413, 5.889873]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -1.9442035, -1.8405854, 3.3130536, -1.7342403, -1.6947019, 3.497112]","[0.019136963, 0.019741595, 1.7840277, 2.6714728, 2.0765486, 4.064577, 3.673962, 4.739223]","[-0.023574699, -0.07952632, -0.5951702, -0.4271476, -0.36009598, -1.3634244, -2.816966, 0.024029614]",,,,,,,,,,,,
