datetime,frame_number,x,y,z
2024-08-29 23:57:21.757486,1,"[-1.5840833  -1.5791714  -1.5821755  ...  0.13931353  0.1397565
  0.14019945]","[-1.153133   -1.153133   -1.1589316  ...  0.10816745  0.10816745
  0.10816745]",[2.983      2.983      2.9980001  ... 0.26900002 0.26900002 0.26900002]
2024-08-29 23:57:22.161789,14,"[-1.5840833  -1.5791714  -1.5821755  ...  0.13983142  0.14027603
  0.14072062]","[-1.153133   -1.153133   -1.1589316  ...  0.10856955  0.10856955
  0.10856955]",[2.983     2.983     2.9980001 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:22.221132,16,"[-1.5920489  -1.5871123  -1.59748    ...  0.13983142  0.14027603
  0.14072062]","[-1.1589316  -1.1589316  -1.170142   ...  0.10856955  0.10856955
  0.10856955]",[2.9980001 2.9980001 3.0270002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:22.275755,18,"[-1.6159456  -1.6109349  -1.6138401  ...  0.13983142  0.14027603
  0.14072062]","[-1.1763272  -1.1763272  -1.1821257  ...  0.10856955  0.10856955
  0.10856955]",[3.0430002 3.0430002 3.058     ... 0.27      0.27      0.27     ]
2024-08-29 23:57:22.322812,20,"[-1.607449   -1.6024647  -1.605924   ...  0.13983142  0.14027603
  0.14072062]","[-1.170142   -1.170142   -1.1763272  ...  0.10856955  0.10856955
  0.10856955]",[3.0270002 3.0270002 3.0430002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:22.370250,21,"[-1.607449   -1.6024647  -1.605924   ...  0.13983142  0.14027603
  0.14072062]","[-1.170142   -1.170142   -1.1763272  ...  0.10856955  0.10856955
  0.10856955]",[3.0270002 3.0270002 3.0430002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:22.418205,22,"[-1.5994834  -1.5945238  -1.59748    ...  0.13983142  0.14027603
  0.14072062]","[-1.1643435  -1.1643435  -1.170142   ...  0.10856955  0.10856955
  0.10856955]",[3.012     3.012     3.0270002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:22.460521,24,"[-1.5840833  -1.5791714  -1.5821755  ...  0.14034933  0.14079559
  0.14124182]","[-1.153133   -1.153133   -1.1589316  ...  0.10897167  0.10897167
  0.10897167]",[2.983      2.983      2.9980001  ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:22.497938,25,"[-1.5761179  -1.5712306  -1.5663432  ...  0.14034933  0.14027603
  0.14072062]","[-1.1473346  -1.1473346  -1.1473346  ...  0.10897167  0.10856955
  0.10856955]",[2.9680002  2.9680002  2.9680002  ... 0.27100003 0.27       0.27      ]
2024-08-29 23:57:22.534745,26,"[-1.6159456  -1.6109349  -1.6138401  ...  0.13983142  0.14027603
  0.14072062]","[-1.1763272  -1.1763272  -1.1821257  ...  0.10856955  0.10856955
  0.10856955]",[3.0430002 3.0430002 3.058     ... 0.27      0.27      0.27     ]
