DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-05 01:25:01.646868,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.235442, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.019003466, 0.0174306, 2.9857848, 4.5143776, 6.7045197]","[-0.023682442, -0.0800646, -0.52233696, -1.0037814, -0.864703]",,,,,,,,,,,,
2024-08-05 01:25:02.412343,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.235442, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.2496042]","[0.018970625, 0.017286478, 2.9830217, 4.51215, 6.790253]","[-0.023708757, -0.08009584, -0.5378908, -1.0137494, -0.8084027]",,,,,,,,,,,,
2024-08-05 01:25:03.167963,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.2496042]","[0.0189224, 0.016763195, 2.9830737, 4.511002, 6.789183]","[-0.023747265, -0.08020699, -0.5376038, -1.0188445, -0.8173368]",,,,,,,,,,,,
2024-08-05 01:25:03.888968,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018973952, 0.017435515, 2.9866195, 4.5148573, 6.706416]","[-0.023706095, -0.08006353, -0.5175433, -1.0016227, -0.8498725]",,,,,,,,,,,,
2024-08-05 01:25:04.608371,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.1987343]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018821655, 0.017497394, 2.9851685, 4.5137777, 6.705322]","[-0.023827193, -0.08005003, -0.5258475, -1.0064765, -0.858464]",,,,,,,,,,,,
2024-08-05 01:25:05.364426,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.1987343]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.01896035, 0.017178971, 2.9824529, 4.51047, 6.70583]","[-0.023716975, -0.08011897, -0.54103655, -1.0211989, -0.8544858]",,,,,,,,,,,,
2024-08-05 01:25:06.098898,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.01889414, 0.017294692, 2.9845462, 4.5127554, 6.703925]","[-0.023769755, -0.08009407, -0.5293672, -1.0110503, -0.869303]",,,,,,,,,,,,
2024-08-05 01:25:06.825495,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018832603, 0.017738117, 2.9867198, 4.5150504, 6.7030687]","[-0.02381854, -0.07999703, -0.51696193, -1.0007516, -0.875882]",,,,,,,,,,,,
2024-08-05 01:25:07.602089,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.235442, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.019031331, 0.017424641, 2.9841704, 4.5127892, 6.705415]","[-0.023660056, -0.0800659, -0.5314817, -1.0108981, -0.85773534]",,,,,,,,,,,,
2024-08-05 01:25:08.373796,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018879449, 0.017224396, 2.9822018, 4.5108194, 6.703987]","[-0.023781424, -0.080109216, -0.5424187, -1.0196532, -0.8688253]",,,,,,,,,,,,
