DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-05 01:20:32.861929,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.0308306, -3.6266346, -3.4030375]","[0.019236585, 0.020280853, 4.277566, 6.5986977, 6.7247434, 7.3769627, 7.6164465]","[-0.02349348, -0.07939051, -0.5708558, -0.64515316, -1.1184988, -1.0690825, -0.7604686]",,,,,,,,,,,,
2024-08-05 01:20:33.667768,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.799155, 7.3732486, 7.4605064, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019196218, 0.020252513, 4.27869, 6.598184, 6.617817, 7.3921947, 7.6182137]","[-0.023526475, -0.079397745, -0.5623679, -0.65038365, -1.1000639, -0.9581056, -0.74255383]",,,,,,,,,,,,
2024-08-05 01:20:34.423928,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019211022, 0.019906692, 6.597917, 6.6198735, 7.378217, 7.4775505]","[-0.023514388, -0.079485156, -0.6530879, -1.0876197, -1.0603881, -0.9080986]",,,,,,,,,,,,
2024-08-05 01:20:35.154707,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019417154, 0.020201115, 6.5976734, 6.6190333, 7.3934646, 7.480697]","[-0.023344463, -0.079410836, -0.65554315, -1.0927205, -0.94826007, -0.8818006]",,,,,,,,,,,,
2024-08-05 01:20:35.920219,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.460506, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019354226, 0.020209469, 4.2775955, 6.5965343, 6.6153984, 7.404416, 7.624728]","[-0.02339666, -0.07940871, -0.5706333, -0.66690874, -1.1145136, -0.858566, -0.6723738]",,,,,,,,,,,,
2024-08-05 01:20:36.689906,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019152025, 0.019909158, 6.596516, 6.6198964, 7.3909373, 7.617098]","[-0.023562465, -0.07948454, -0.6670895, -1.0874791, -0.9677573, -0.75391644]",,,,,,,,,,,,
2024-08-05 01:20:37.447134,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.460506, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.2496042, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019261533, 0.020334935, 4.201306, 6.5989933, 6.617143, 7.3816557, 7.4874425]","[-0.02347303, -0.079376675, -0.56586653, -0.6421248, -1.104108, -1.0361813, -0.82255906]",,,,,,,,,,,,
2024-08-05 01:20:38.206086,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.0308306, -3.6266346, -3.4030375]","[0.019184915, 0.02021213, 4.276913, 6.598315, 6.7266364, 7.382806, 7.624522]","[-0.023535691, -0.079408035, -0.5757253, -0.6490589, -1.107056, -1.0279549, -0.6747082]",,,,,,,,,,,,
2024-08-05 01:20:38.994953,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.0308306, -3.6266346, -3.4030375]","[0.019303642, 0.020195317, 4.277697, 6.595552, 6.722169, 7.3893337, 7.623662]","[-0.023438413, -0.07941231, -0.5698724, -0.67655456, -1.1338673, -0.9799274, -0.68435854]",,,,,,,,,,,,
2024-08-05 01:20:39.931520,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019295987, 0.020109694, 4.275926, 6.5975184, 6.6189427, 7.374321, 7.4963827]","[-0.023444716, -0.07943404, -0.5830113, -0.65710044, -1.0932674, -1.0871518, -0.73664725]",,,,,,,,,,,,
